,ls_id,release,brickid,brickname,objid,brick_primary,ra,dec,type,flux_g,flux_r,flux_i,flux_z,flux_ivar_g,flux_ivar_r,flux_ivar_i,flux_ivar_z,mw_transmission_g,mw_transmission_r,mw_transmission_i,mw_transmission_z,galdepth_g,galdepth_r,galdepth_i,galdepth_z,shape_r,fitbits,nobs_g,nobs_r,nobs_i,nobs_z,dist_arcsec
8637,10995329521423118,10000,203365,1915m227,4878,1,191.5508823852605,-22.8604734589731,REX,0.2460618,0.42370465,0.44851357,0.50258154,788.63477,826.72534,273.717,87.89978,0.8182633,0.8736217,0.9054262,0.92721206,691.8183,722.999,225.10402,72.81562,0.3433974,0,4,5,4,4,623.1585407293165
8638,10995329521423487,10000,203365,1915m227,5247,1,191.5631313551896,-22.87366995896216,PSF,0.13264592,0.2802703,0.39212132,0.40113765,352.67392,230.6477,428.04318,138.7623,0.8178165,0.8733004,0.9051813,0.92702127,275.23563,148.46146,225.10402,72.81562,0.0,0,2,2,4,4,613.7622263071974
8639,10995329521422706,10000,203365,1915m227,4466,1,191.5364313848102,-22.85425979060109,PSF,0.13047144,0.49290365,0.75137997,0.9899068,1072.6255,1111.4923,424.44516,137.29662,0.8198329,0.87475026,0.9062861,0.92788184,691.8183,722.999,225.10402,72.81562,0.0,0,4,5,4,4,613.4704138522152
8640,10995328127865194,10000,202036,1915m230,4458,1,191.5912381964589,-22.91809083233277,REX,0.14754099,0.34787634,0.6227649,0.8504856,544.97394,562.57404,138.8071,55.68317,0.8180211,0.87344754,0.90529346,0.92710865,682.08813,724.1317,191.86183,74.46826,0.6157725,0,4,5,3,4,589.9450371042611
8641,10995328127865265,10000,202036,1915m230,4529,1,191.5952928995929,-22.9181279616161,PSF,-0.029540263,0.12751599,0.2767147,0.39440814,1094.0254,1176.005,375.6162,140.83894,0.8179167,0.87337244,0.90523624,0.92706406,682.08813,724.1317,191.86183,74.46826,0.0,0,4,5,3,4,601.7011138892647
8642,10995328127865257,10000,202036,1915m230,4521,1,191.5946329286688,-22.9174078294776,PSF,0.7383159,3.0016446,6.1727676,8.453331,992.992,918.5995,287.80515,100.3693,0.81793565,0.8733861,0.9052466,0.9270721,682.08813,724.1317,191.86183,56.6347,0.0,0,4,5,3,3,601.0038240148729
8643,10995328127865175,10000,202036,1915m230,4439,1,191.5904530793995,-22.91719194957791,DEV,0.653327,3.5948043,9.169659,14.009612,461.07672,425.90234,109.16652,35.286774,0.8180439,0.8734639,0.905306,0.92711836,682.08813,724.1317,191.86183,56.6347,0.6810732,0,4,5,3,3,589.235110415136
8644,10995328127865264,10000,202036,1915m230,4528,1,191.5952671003969,-22.91696279063263,PSF,0.1268277,0.1676611,0.23982818,0.2805284,1071.6711,1165.1893,376.43176,115.94456,0.8179207,0.8733753,0.90523845,0.92706573,682.08813,724.1317,191.86183,56.6347,0.0,8192,4,5,3,3,603.6161853400176
8645,10995328127865298,10000,202036,1915m230,4562,1,191.5968137296845,-22.91990925761969,PSF,0.3584348,1.7397157,8.1759405,15.658202,1038.6571,1012.4576,317.455,113.08237,0.8178725,0.87334067,0.90521204,0.92704517,682.08813,724.1317,227.21037,74.46826,0.0,0,4,5,4,4,603.1755299608018
8646,10995328127865384,10000,202036,1915m230,4648,1,191.6008661875057,-22.91945924834271,EXP,0.6107231,1.6226219,2.4089906,2.5120468,664.43054,653.433,225.39398,77.20953,0.81777126,0.8732678,0.9051565,0.9270019,682.08813,724.1317,227.21037,74.46826,0.6240433,8192,4,5,4,4,615.8699786920553
